學校類型,學校代碼,學校名稱,學位生_正式修讀學位外國生,學位生_僑生(含港澳),學位生_正式修讀學位陸生,非學位生_外國交換生,非學位生_外國短期研習及個人選讀,非學位生_大專附設華語文中心學生,非學位生_大陸研修生,非學位生_海青班,境外專班
大專校院,0034,國立高雄海洋科技大學,12,40,6,4,1,0,0,0,0
大專校院,0035,國立臺南藝術大學,13,18,8,3,0,0,0,0,0
大專校院,0036,國立臺南大學,28,111,22,1,0,0,0,0,0
大專校院,0037,國立臺北教育大學,45,166,17,24,38,587,0,0,0
大專校院,0039,國立臺中教育大學,89,191,18,7,32,173,0,0,0
大專校院,0042,國立澎湖科技大學,7,32,9,0,0,0,0,0,0
大專校院,0043,國立勤益科技大學,106,43,19,14,0,0,0,0,0
大專校院,0044,國立體育大學,16,54,27,7,34,0,0,0,0
大專校院,0046,國立臺北護理健康大學,41,97,8,31,28,0,0,0,0
大專校院,0047,國立高雄餐旅大學,90,182,14,17,0,0,0,0,0
大專校院,0048,國立金門大學,1,63,136,1,0,0,0,0,0
大專校院,0049,國立臺灣體育運動大學,4,99,8,0,0,0,0,0,0
大專校院,0050,國立臺中科技大學,7,119,25,4,15,0,0,0,0
大專校院,0051,國立臺北商業大學,12,155,44,33,0,0,0,0,6
大專校院,0052,國立屏東大學,13,173,17,11,13,35,0,0,0
大專校院,0144,國立臺灣戲曲學院,1,8,12,0,0,80,0,0,0
大專校院,1001,東海大學,311,389,415,82,56,471,0,0,0
大專校院,1002,輔仁大學,225,667,612,150,0,780,0,0,0
大專校院,1003,東吳大學,91,491,233,106,7,250,0,0,0
大專校院,1004,中原大學,301,555,367,50,130,1208,0,0,0
大專校院,1005,淡江大學,550,945,528,114,0,1783,0,0,0
大專校院,1006,中國文化大學,359,717,467,154,8,1774,0,224,0
大專校院,1007,逢甲大學,536,660,445,31,81,491,0,279,0
大專校院,1008,靜宜大學,181,238,269,137,73,451,0,212,0
大專校院,1009,長庚大學,187,152,84,1,90,0,0,0,0
大專校院,1010,元智大學,300,244,189,57,195,0,0,0,0
大專校院,1011,中華大學,167,33,24,2,0,85,0,118,0
大專校院,1012,大葉大學,313,353,40,5,5,0,0,101,0
大專校院,1013,華梵大學,28,34,14,1,17,0,0,0,0
大專校院,1014,義守大學,711,668,154,24,0,370,0,0,28
大專校院,1015,世新大學,201,414,307,24,0,56,0,0,0
大專校院,1016,銘傳大學,797,773,553,137,1013,522,0,499,0
大專校院,1017,實踐大學,132,461,206,55,27,568,0,0,0
大專校院,1018,朝陽科技大學,185,222,195,22,0,46,0,0,0
大專校院,1019,高雄醫學大學,181,311,20,0,85,0,0,0,0
大專校院,1020,南華大學,236,47,7,3,59,153,0,0,89
大專校院,1021,真理大學,23,72,4,3,0,0,0,0,0
大專校院,1022,大同大學,9,42,79,13,19,0,0,0,0
大專校院,1023,南臺科技大學,277,124,126,31,69,284,0,0,0
大專校院,1024,崑山科技大學,115,38,55,9,140,346,0,17,0
大專校院,1025,嘉南藥理大學,120,43,8,0,15,0,0,0,0
大專校院,1026,樹德科技大學,176,241,161,21,8,54,0,0,60
大專校院,1027,慈濟大學,243,107,16,5,9,302,0,0,0
大專校院,1028,臺北醫學大學,243,311,64,0,436,0,0,0,0
大專校院,1029,中山醫學大學,14,304,27,0,23,0,0,0,0
大專校院,1030,龍華科技大學,222,92,63,21,0,93,0,80,105
大專校院,1031,輔英科技大學,5,88,0,0,44,0,0,0,0
大專校院,1032,明新科技大學,347,43,1,2,0,0,0,6,0
大專校院,1033,長榮大學,92,258,16,9,137,0,0,0,0
大專校院,1034,弘光科技大學,142,250,21,0,5,0,0,171,0
大專校院,1035,中國醫藥大學,152,291,28,0,250,0,0,0,0
大專校院,1036,健行科技大學,38,10,2,0,0,0,0,0,0
大專校院,1037,正修科技大學,59,129,25,38,0,0,0,0,0
大專校院,1038,萬能科技大學,327,50,5,0,3,8,0,0,0
大專校院,1039,玄奘大學,146,145,6,2,0,0,0,0,0
大專校院,1040,建國科技大學,246,25,4,8,0,213,0,80,0
大專校院,1041,明志科技大學,51,3,34,1,32,0,0,0,0
大專校院,1042,高苑科技大學,11,55,0,5,0,5,0,0,0
大專校院,1043,大仁科技大學,24,87,0,3,31,0,0,0,0
大專校院,1044,聖約翰科技大學,155,51,32,5,0,0,0,0,0
大專校院,1045,嶺東科技大學,35,55,68,0,0,0,0,0,0
大專校院,1046,中國科技大學,39,32,85,2,15,0,0,0,0
大專校院,1047,中臺科技大學,40,25,8,0,37,0,0,61,0
大專校院,1048,亞洲大學,203,219,84,34,131,0,0,0,0
大專校院,1049,開南大學,554,72,4,49,85,714,0,0,0
大專校院,1050,佛光大學,78,78,20,15,0,113,0,0,0
大專校院,1051,台南應用科技大學,16,53,32,5,0,0,0,0,0
大專校院,1052,遠東科技大學,95,14,8,22,0,0,0,0,0
大專校院,1053,元培醫事科技大學,54,29,12,0,37,0,0,108,0
大專校院,1054,景文科技大學,142,114,44,0,0,0,0,0,0
大專校院,1055,中華醫事科技大學,8,9,1,0,54,0,0,0,0
大專校院,1056,東南科技大學,43,68,5,0,0,0,0,7,0
大專校院,1057,德明財經科技大學,204,4,3,0,0,0,0,0,0
大專校院,1058,明道大學,168,116,9,7,0,77,0,101,13
大專校院,1060,南開科技大學,20,52,1,0,88,0,0,50,0
大專校院,1061,中華科技大學,16,8,10,0,0,3,0,0,0
大專校院,1062,僑光科技大學,92,15,4,1,0,0,0,0,0
大專校院,1063,育達科技大學,18,6,0,0,23,0,0,0,0
大專校院,1064,美和科技大學,35,5,0,0,0,0,0,0,277
大專校院,1065,吳鳳科技大學,62,6,0,0,0,0,0,0,0
大專校院,1066,環球科技大學,321,52,6,31,0,0,0,184,0
大專校院,1067,台灣首府大學,64,147,4,0,0,0,0,0,0
大專校院,1068,中州科技大學,101,10,1,12,0,0,0,0,7
大專校院,1069,修平科技大學,26,3,1,0,0,0,0,0,0
大專校院,1070,長庚科技大學,0,58,6,0,15,0,0,0,0
大專校院,1071,臺北城市科技大學,22,34,0,1,1,0,0,0,0
大專校院,1072,大華科技大學,36,5,0,5,3,0,0,100,0
大專校院,1073,醒吾科技大學,169,33,7,0,0,0,0,0,31
大專校院,1074,南榮科技大學,47,1,0,0,0,0,0,0,0
大專校院,1075,文藻外語大學,147,54,72,74,0,480,0,0,0
大專校院,1076,華夏科技大學,6,9,3,0,0,0,0,0,0
大專校院,1077,慈濟科技大學,123,11,2,1,24,0,0,0,0
大專校院,1078,致理科技大學,88,18,40,0,2,0,0,0,0
大專校院,1079,康寧大學,91,7,0,2,0,0,0,0,0
大專校院,1080,宏國德霖科技大學,0,7,1,0,0,0,0,0,0
大專校院,1081,東方設計大學,92,7,7,0,0,0,0,0,0
大專校院,1082,崇右影藝科技大學,38,57,4,0,0,0,0,0,0
大專校院,1083,台北海洋科技大學,9,13,5,0,0,0,0,0,0
大專校院,1125,中信金融管理學院,3,0,3,0,0,0,0,0,0
大專校院,1148,大漢技術學院,1,1,2,0,0,0,0,0,0
大專校院,1159,和春技術學院,40,2,0,0,0,0,0,57,0
大專校院,1166,亞東技術學院,1,1,0,0,0,0,0,0,0
大專校院,1168,南亞技術學院,21,0,0,0,0,5,0,0,0
大專校院,1176,稻江科技暨管理學院,1,2,0,0,0,0,0,0,0
大專校院,1182,蘭陽技術學院,5,0,0,0,0,0,0,0,0
大專校院,1183,黎明技術學院,85,6,0,0,0,0,0,0,0
大專校院,1185,經國管理暨健康學院,6,15,0,0,0,0,0,12,0
大專校院,1187,崇右技術學院,0,0,0,0,1,0,0,0,0
大專校院,1188,大同技術學院,0,7,1,0,0,0,0,0,0
大專校院,1189,亞太創意技術學院,1,2,0,0,0,0,0,0,0
大專校院,1192,臺灣觀光學院,1,8,0,0,0,0,0,0,0
大專校院,1195,馬偕醫學院,0,10,0,0,0,0,0,0,0
大專校院,1196,法鼓文理學院,35,6,5,3,2,0,0,0,0
大專校院,1282,馬偕醫護管理專科學校,0,1,0,0,0,0,0,0,0
大專校院,1284,樹人醫護管理專科學校,0,0,0,0,34,0,0,0,0
大專校院,1286,耕莘健康管理專科學校,0,1,0,0,0,0,0,0,0
大專校院,1292,新生醫護管理專科學校,0,2,0,0,0,0,0,0,0
大專校院,3002,臺北市立大學,23,165,21,11,0,0,0,0,0
無,9999,無法區分校別,0,0,0,0,0,0,25824,0,0
宗教研修學院,1R02,基督教台灣浸會神學院,0,1,0,0,0,0,0,0,0
宗教研修學院,1R03,臺北基督學院,11,1,0,0,0,0,0,0,0
軍警大專校院,M104,國防醫學院,0,108,0,0,0,0,0,0,0
